"国际经贸规则专业是为了未来能处理国际经贸争端、国际投资争议、跨国知识产权纠纷，并能够解决“一带一路”、国内自由贸易区、自由贸易港下各类涉外法律问题而储备人才。该专业培养具备扎实的法学基础并复合经济学、投资学知识结构，通晓国际经贸规则并具备国际视野和跨文化沟通能力，熟练运用外语并掌握规则制定技巧的国际化、复合型专业人才。该专业培养的学生将主要服务于我国多边、区域、双边以及包括“一带一路”在内的国际贸易谈判以及国际争端解决，需要具有“以法学为基础、以经济学和外交学为支撑、以精通外语为保障、以谈判为导向”的能力。该专业对政治、经济科目要求较高。该专业适合对国际经济交流及相关政策研究感兴趣的同学就读。","法学类","法学","31","国际经贸规则",\N,\N,\N,\N,"030105T",\N
"政治学与行政学专业培养具有一定马克思主义理论素养和政治学、行政学方面的基本理论和专门知识，能在党政机关、新闻出版机构、企事业和社会团体等单位从事教学科研、行政管理等方面工作的政治学和行政学高级专门人才。政治学与行政学是近代从西方传到中国来的一门学问，属于社会科学。政治学以国家及其活动为主要研究对象，范围涉及政治理论、政治制度、公共政策、公共行政和国际政治等领域国内高校的法学院一般都设有政治学系或政治学和行政管理学系。年轻人刚进入大学，从什么地方了解政治？通过系统专业的学习，政治学系的学生会对政治发展脉络有个大致的了解，形成个人的见解，所谓“指点江山，激扬文字”。政治学与行政学专业的学生要学习线性代数和微积分，在掌握这些基本的工具后，进一步学习社会调查和社会统计，并通过实习锻炼自己。","政治学类","法学","32","政治学与行政学",\N,\N,\N,\N,"30201",\N
"国际政治专业是研究以国家为主体的国际行为体的跨国互动关系，并进而主要从政治的视角研究影响这种互动关系的一切因素的学科。国际政治学是围绕权力、利益和安全来认识和研究国际社会演变和发展规律，主要是解释国际政治行为体间相互的政治的作用及其演变的一般规律。","政治学类","法学","33","国际政治",\N,\N,\N,\N,"30202",\N
"外交学专业培养具有一定的马克思主义理论素养和强烈的爱国心，对国际事务和中国外交有系统全面的了解，有交际和谈判的能力，在政治、业务、作风、纪律和语言方面具有较高的综合素质，能在外交和其他外事部门从事实际工作、国际问题研究和教学工作的外交学高级专门人才。","政治学类","法学","34","外交学",\N,\N,\N,\N,"30203",\N
"国际事务与国际关系专业是一门交叉学科，该交叉学位课程以国际学学位课程为基础，旨在培养学生对当今全球力量的整体认识。该课程涉及的范围极广，包括历史、政治和国际关系、文化研究和现代语言等。国际事务与国际关系专业为学生从全球视角观察决定当代国际事务进程的结构、动力和网络提供了独一无二的机会。该学位课程可以培养学生对世界各国的历史、政治、国际关系的知晓与理解。","政治学类","法学","35","国际事务与国际关系",\N,\N,\N,\N,"030204T",\N
"政治学、经济学与哲学专业为2010年新增专业，专业是北京大学元培学院牵手政府管理学院、中国经济研究中心和哲学系联合设立的新型复合专业。学制四年，授予法学或经济学或哲学学士学位。该专业的授课方式以理论讲授为主，分为公共必修课程、专业必修课以及选修课。实行学分制，同时会设置政治学研讨班、经济学研讨班、哲学研讨班。政治学、经济学与哲学专业要求使学生获得良好的政治思想、道德品质、文化修养和身心素质教育，掌握基本的哲学、政治学和经济学知识，打好认识和研究方法论基础，为今后的进一步学习提供支撑，帮助学生实现自我可持续发展。为政府机关、社会管理部门、财富创造部门和国内外哲学社会科学研究机构输送优秀人才。","政治学类","法学","36","政治学、经济学与哲学",\N,\N,\N,\N,"030205T",\N
"社会学专业培养具备较全面的社会学理论知识和较熟练的社会调查技能。能够在教育、科研机构、党政机构、企事业单位、社会团体中从事社会的研究与调查工作。也是培养政策研究与评估、社会规划与管理、发展研究与预测等工作的高级专门人才。该专业学生主要学习理论社会学和应用社会学的基本知识，受到社会研究和社会调查技能以及表达能力的基本训练；具有理论分析、实证调查研究等多方面的基本能力。","社会学类","法学","37","社会学",\N,\N,\N,\N,"30301",\N
"社会工作专业是政府为主体，社会力量广泛参与的，以社会工作、社会学、心理学等为主干学科基础，物业管理、医学、法学等为辅助学科，以助人自助为核心理念，以个案工作、小组工作、社区工作为直接工作方法的学科。旨在为案主（client）提供专业服务，帮助案主解决在与环境互动过程中所产生的各种问题，帮助案主重塑自信，协助解决困境，重新融入社会。","社会学类","法学","38","社会工作",\N,\N,\N,\N,"30302",\N
"人类学是从生物和文化的角度对人类进行全面研究的学科群。也有了新兴的就业方向，比如游戏策划。此词anthropology由anthropos和logos组成，从上理解就是有关人类的知识学问。“人类学”对于大多数中国人来说，是个若即若离的名词——也许不少人都或多或少地听说过一些，但究竟人类学所指为何，大多数都说不出个所以然，甚至对它没有起码的概念。人类学是一门交叉学科。哈佛一位教授曾说过这样一段话，大意是在哈佛的诸多专业中，再找不到一个学科像人类学这样，要干那么多的事情，要涉及那么多学科。潘天舒说：“人类学的研究中可能会用碳14鉴定文物的年代，可能会跟踪黑猩猩部落，可能会调查华尔街的投资心理，可能会接触到印度妇女和瘾君子。”人类学的研究者也并不都是人类学出身，潘天舒本科学的是英美文学，硕士念的是东亚研究，他说“我在哈佛的同学，本科是人类学的一半都不到，还有很多人是学理工的”。","社会学类","法学","39","人类学",\N,\N,\N,\N,"030303T",\N
"女性学(Women’s Studies) 是一门新兴的专业。女性学(Women’s Studies) 是一门新兴的专业。20世纪90年代末，仅美国就有600多所大学开设3万多门女性学课程，包括学士、硕士和博士学位课程；欧共体有10多个国家授予女性学硕士和博士学位。女性学专业的研究方向有女性学理论、女性与政策、女性与传媒、女性与参政、女性与发展、女性与婚姻家庭。同时，在该专业的选修课中，女性自我保护、女性礼仪、女性时尚等内容也是不可缺少的。","社会学类","法学","40","女性学",\N,\N,\N,\N,"030304T",\N
